                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6098,                 11.505,                 1.4941,                0.17864,                0.12815,                 0.1004,                0.04197,                 2.5922,                 4.2331,                 1.4443,             0.00040625,             0.00040625,             0.00040625
                      2,                 2.2036,                 3.5719,                 1.2415,                0.17864,                0.12815,                 0.1004,                0.04197,                 3.0026,                    nan,                 7.9949,             0.00078218,             0.00078218,             0.00078218
                      3,                  2.197,                 2.8019,                 1.1817,                  2e-05,                0.00424,                  1e-05,                      0,                 2.2694,                    nan,                 7.9976,              0.0011169,              0.0011169,              0.0011169
                      4,                 2.1137,                  2.481,                 1.1618,                0.60334,                0.02693,                0.03959,                0.02339,                 2.3319,                 5.2526,                 1.3758,              0.0010644,              0.0010644,              0.0010644
                      5,                 2.0847,                 2.3115,                  1.175,                0.53507,                0.27627,                0.24602,                 0.1047,                  2.255,                 3.2229,                 1.3744,              0.0010025,              0.0010025,              0.0010025
                      6,                  2.041,                 2.1534,                 1.1699,                0.25165,                0.14115,                0.00071,                0.00029,                 3.1967,                 370.28,                 2.2448,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.9901,                 2.0668,                 1.1445,                0.59836,                0.31727,                0.33271,                0.16695,                 2.1357,                 2.8128,                 1.2687,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.9037,                 1.9329,                 1.1031,                0.82448,                0.23352,                  0.446,                0.24934,                 1.9732,                  2.255,                 1.2588,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.8523,                   1.84,                  1.103,                0.54212,                 0.4378,                0.45236,                0.25447,                 1.8759,                  2.035,                 1.2188,               0.000755,               0.000755,               0.000755
                     10,                 1.7478,                 1.7273,                 1.0734,                0.40911,                0.41115,                0.44924,                0.23674,                 1.9947,                 2.0481,                 1.2311,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.7284,                 1.5889,                 1.1104,                0.54733,                0.40251,                0.40939,                 0.2164,                 1.8238,                 3.0523,                 1.2034,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.6395,                 1.5237,                 1.0693,                0.74159,                0.41849,                0.49011,                0.26923,                 1.7649,                 1.7352,                 1.1624,             0.00056938,             0.00056938,             0.00056938
                     13,                 1.6131,                 1.4052,                 1.0793,                0.47794,                0.45995,                0.48844,                0.24701,                 1.8547,                 1.9851,                 1.1642,              0.0005075,              0.0005075,              0.0005075
                     14,                  1.517,                 1.3055,                 1.0239,                0.65033,                0.53831,                0.54552,                0.29735,                 1.7711,                 1.7979,                 1.1605,             0.00044563,             0.00044563,             0.00044563
                     15,                 1.4912,                 1.2136,                 1.0389,                0.83184,                 0.4481,                0.55179,                0.30326,                 1.7923,                 1.7474,                 1.1864,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.4677,                 1.3037,                 1.0385,                0.56952,                0.46045,                0.46501,                 0.2498,                 1.7496,                 21.262,                 1.1719,             0.00032188,             0.00032188,             0.00032188
                     17,                 1.4271,                 1.1332,                 1.0006,                0.56399,                0.49767,                0.53482,                0.26869,                 1.7822,                 2.1108,                 1.1694,                0.00026,                0.00026,                0.00026
                     18,                 1.3854,                 1.0697,                 1.0012,                0.59147,                0.52022,                0.56741,                 0.3046,                 1.6776,                 1.7222,                 1.1461,             0.00019813,             0.00019813,             0.00019813
                     19,                  1.363,                 1.0601,                  1.008,                0.61144,                0.56167,                0.59937,                0.32191,                 1.7168,                 1.6042,                 1.1651,             0.00013625,             0.00013625,             0.00013625
                     20,                 1.3363,                0.99922,                0.98566,                 0.6192,                0.55687,                0.59571,                 0.3253,                 1.6925,                 1.6215,                 1.1624,             7.4375e-05,             7.4375e-05,             7.4375e-05
